Country,Category,Location,Impact,Units,Reference,Value
American Samoa,SOx,Urban,Primary Health,/metric ton,Air Pollution_SOx_Urban_Primary Health,"2,453.53"
American Samoa,SOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_SOx_Peri-Urban_Primary Health,"2,322.12"
American Samoa,SOx,Rural,Primary Health,/metric ton,Air Pollution_SOx_Rural_Primary Health,"1,332.77"
American Samoa,SOx,Transport,Primary Health,/metric ton,Air Pollution_SOx_Transport_Primary Health,"2,218.80"
American Samoa,SOx,N/A for SOx,Visibility,/metric ton,Air Pollution_SOx_N/A for SOx_Visibility,28.65
American Samoa,NH3,Urban,Primary Health,/metric ton,Air Pollution_NH3_Urban_Primary Health,"2,202.07"
American Samoa,NH3,Peri-Urban,Primary Health,/metric ton,Air Pollution_NH3_Peri-Urban_Primary Health,"2,037.41"
American Samoa,NH3,Rural,Primary Health,/metric ton,Air Pollution_NH3_Rural_Primary Health,"1,081.70"
American Samoa,NH3,Transport,Primary Health,/metric ton,Air Pollution_NH3_Transport_Primary Health,"1,963.42"
American Samoa,NH3,N/A for NH3,Visibility,/metric ton,Air Pollution_NH3_N/A for NH3_Visibility,35.10
American Samoa,PM10,Urban,Primary Health,/metric ton,Air Pollution_PM10_Urban_Primary Health,39.19
American Samoa,PM10,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM10_Peri-Urban_Primary Health,38.66
American Samoa,PM10,Rural,Primary Health,/metric ton,Air Pollution_PM10_Rural_Primary Health,25.86
American Samoa,PM10,Transport,Primary Health,/metric ton,Air Pollution_PM10_Transport_Primary Health,37.65
American Samoa,PM10,N/A for PM10,Visibility,/metric ton,Air Pollution_PM10_N/A for PM10_Visibility,31.80
American Samoa,NOx,Urban,Primary Health,/metric ton,Air Pollution_NOx_Urban_Primary Health,"1,013.94"
American Samoa,NOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_NOx_Peri-Urban_Primary Health,963.26
American Samoa,NOx,Rural,Primary Health,/metric ton,Air Pollution_NOx_Rural_Primary Health,711.19
American Samoa,NOx,Transport,Primary Health,/metric ton,Air Pollution_NOx_Transport_Primary Health,627.60
American Samoa,NOx,N/A for NOx,Agriculture,/metric ton,Air Pollution_NOx_N/A for NOx_Agriculture,14.43
American Samoa,NOx,N/A for NOx,Visibility,/metric ton,Air Pollution_NOx_N/A for NOx_Visibility,1.99
American Samoa,VOC,N/A for VOC,Secondary Health,/metric ton,Air Pollution_VOC_N/A for VOC_Secondary Health,135.80
American Samoa,VOC,N/A for VOC,Visibility,/metric ton,Air Pollution_VOC_N/A for VOC_Visibility,3.86
American Samoa,VOC,N/A for VOC,Agriculture,/metric ton,Air Pollution_VOC_N/A for VOC_Agriculture,321.01
Andorra,PM2.5,Urban,Primary Health,/metric ton,Air Pollution_PM2.5_Urban_Primary Health,"7,529.09"
Andorra,PM2.5,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM2.5_Peri-Urban_Primary Health,"6,985.32"
Andorra,PM2.5,Rural,Primary Health,/metric ton,Air Pollution_PM2.5_Rural_Primary Health,"3,682.60"
Andorra,PM2.5,Transport,Primary Health,/metric ton,Air Pollution_PM2.5_Transport_Primary Health,"6,721.79"
Andorra,PM2.5,N/A for PM2.5,Visibility,/metric ton,Air Pollution_PM2.5_N/A for PM2.5_Visibility,12.50
Andorra,SOx,Urban,Primary Health,/metric ton,Air Pollution_SOx_Urban_Primary Health,"2,514.13"
Andorra,SOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_SOx_Peri-Urban_Primary Health,"2,386.51"
Andorra,SOx,Rural,Primary Health,/metric ton,Air Pollution_SOx_Rural_Primary Health,"1,356.89"
Andorra,SOx,Transport,Primary Health,/metric ton,Air Pollution_SOx_Transport_Primary Health,"2,275.72"
Andorra,SOx,N/A for SOx,Visibility,/metric ton,Air Pollution_SOx_N/A for SOx_Visibility,36.36
Andorra,NH3,Urban,Primary Health,/metric ton,Air Pollution_NH3_Urban_Primary Health,"2,258.73"
Andorra,NH3,Peri-Urban,Primary Health,/metric ton,Air Pollution_NH3_Peri-Urban_Primary Health,"2,095.60"
Andorra,NH3,Rural,Primary Health,/metric ton,Air Pollution_NH3_Rural_Primary Health,"1,104.78"
Andorra,NH3,Transport,Primary Health,/metric ton,Air Pollution_NH3_Transport_Primary Health,"2,016.54"
Andorra,NH3,N/A for NH3,Visibility,/metric ton,Air Pollution_NH3_N/A for NH3_Visibility,27.90
Andorra,PM10,Urban,Primary Health,/metric ton,Air Pollution_PM10_Urban_Primary Health,41.08
Andorra,PM10,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM10_Peri-Urban_Primary Health,40.65
Andorra,PM10,Rural,Primary Health,/metric ton,Air Pollution_PM10_Rural_Primary Health,26.57
Andorra,PM10,Transport,Primary Health,/metric ton,Air Pollution_PM10_Transport_Primary Health,39.48
Andorra,PM10,N/A for PM10,Visibility,/metric ton,Air Pollution_PM10_N/A for PM10_Visibility,41.25
Andorra,NOx,Urban,Primary Health,/metric ton,Air Pollution_NOx_Urban_Primary Health,"1,120.81"
Andorra,NOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_NOx_Peri-Urban_Primary Health,"1,071.25"
Andorra,NOx,Rural,Primary Health,/metric ton,Air Pollution_NOx_Rural_Primary Health,807.54
Andorra,NOx,Transport,Primary Health,/metric ton,Air Pollution_NOx_Transport_Primary Health,643.92
Andorra,NOx,N/A for NOx,Agriculture,/metric ton,Air Pollution_NOx_N/A for NOx_Agriculture,36.99
Andorra,NOx,N/A for NOx,Visibility,/metric ton,Air Pollution_NOx_N/A for NOx_Visibility,5.28
Andorra,VOC,N/A for VOC,Secondary Health,/metric ton,Air Pollution_VOC_N/A for VOC_Secondary Health,162.27
Andorra,VOC,N/A for VOC,Visibility,/metric ton,Air Pollution_VOC_N/A for VOC_Visibility,5.01
Andorra,VOC,N/A for VOC,Agriculture,/metric ton,Air Pollution_VOC_N/A for VOC_Agriculture,19.13
Angola,PM2.5,Urban,Primary Health,/metric ton,Air Pollution_PM2.5_Urban_Primary Health,"40,422.66"
Angola,PM2.5,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM2.5_Peri-Urban_Primary Health,"34,817.20"
Angola,PM2.5,Rural,Primary Health,/metric ton,Air Pollution_PM2.5_Rural_Primary Health,"19,706.93"
Angola,PM2.5,Transport,Primary Health,/metric ton,Air Pollution_PM2.5_Transport_Primary Health,"32,138.45"
Angola,PM2.5,N/A for PM2.5,Visibility,/metric ton,Air Pollution_PM2.5_N/A for PM2.5_Visibility,2.22
Angola,SOx,Urban,Primary Health,/metric ton,Air Pollution_SOx_Urban_Primary Health,"13,347.38"
Angola,SOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_SOx_Peri-Urban_Primary Health,"13,329.08"
Angola,SOx,Rural,Primary Health,/metric ton,Air Pollution_SOx_Rural_Primary Health,"6,755.38"
Angola,SOx,Transport,Primary Health,/metric ton,Air Pollution_SOx_Transport_Primary Health,"11,040.51"
Angola,SOx,N/A for SOx,Visibility,/metric ton,Air Pollution_SOx_N/A for SOx_Visibility,23.19
Angola,NH3,Urban,Primary Health,/metric ton,Air Pollution_NH3_Urban_Primary Health,"12,126.80"
Angola,NH3,Peri-Urban,Primary Health,/metric ton,Air Pollution_NH3_Peri-Urban_Primary Health,"10,445.16"
Angola,NH3,Rural,Primary Health,/metric ton,Air Pollution_NH3_Rural_Primary Health,"5,912.08"
